videoTime,FlightTime,FlightSegment,PropellerPropPitch,PropellerNp,PropellerPropServoPistonOilPressure,Tq,Ng,AirIntake,CompressorInlet,CompressorInterstageP2.5,CompressorDischargeP3,P3IntoFCUSensorBellows,TurbineExhaust,ExhaustOutlet,Py,CompressionRatio,BoostPumpPressureOut,FuelHeaterPressureIn,FuelHeaterPressureOut,FuelPumpPressureIn,FuelPumpPressureOut,PoPressureInToFuelPump,P1:FCUPressureIn,P2:FCUPressureOut,PoPressureOut,FlowDividerIn,FlowDividerOutEachSide,PrimaryManifoldIn,SecondaryManifoldIn,EACHPrimaryManifoldNozzleIn,EACHSecondaryManifoldNozzleIn,Altitude,Airspeed,BatteryVoltage,PowerLever,PropLever,FuelConditionLever
0:02:20,0:00:00,engine start,90,0,0,0,0,14.25,14.25,42.75,128.25,128.25,19.95,14.25,100,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1000,0,25,idle,full forward,cut off
0:02:20,0:00:00,engine start,90,0,0,0,0,14.25,14.25,42.75,128.25,128.25,19.95,14.25,100,9,44,44,44,44,0,0,0,0,0,0,0,0,0,0,0,1000,0,25,idle,full forward,cut off
0:03:35,0:01:15,engine start,90,0,0,0,0,14.25,14.25,42.75,128.25,128.25,19.95,14.25,100,9,44,44,44,44,0,0,0,0,0,0,0,0,0,0,0,1000,0,25,idle,full forward,cut off
0:03:36,0:01:16,engine start,90,0,0,0,0,14.25,14.25,42.75,128.25,128.25,19.95,14.25,100,9,44,44,44,44,0,0,0,0,0,0,0,0,0,0,0,1000,0,17,idle,full forward,cut off
,0:01:26,engine start,90,0,0.01,0,0,14.25,14.25,42.75,128.25,128.25,19.95,14.25,100,9,44,44,44,44,0,0,0,0,0,0,0,0,0,0,0,1000,0,18,idle,full forward,cut off
0:03:47,0:01:27,engine start,90,0,0.01,0,16,14.25,14.25,42.75,128.25,128.25,19.95,14.25,100,9,44,44,44,44,198,0,198,0,0,0,0,0,0,0,0,1000,0,18.5,idle,full forward,high idle
0:03:51,0:01:31,engine start,90,80,0.01,100,22,14.25,14.25,42.75,128.25,128.25,19.95,14.25,100,9,44,44,44,44,219,0,219,20,0,20,20,20,0,20,0,1000,0,19,idle,full forward,high idle
,0:01:34,engine start,90,80,0.01,150,35,14.25,14.25,42.75,128.25,128.25,19.95,14.25,100,9,44,44,44,44,271,0,271,30,0,30,30,30,30,30,30,1000,0,19,idle,full forward,high idle
0:03:57,0:01:37,engine start,90,250,0.01,190,48,14.25,14.25,42.75,128.25,128.25,19.95,14.25,100,9,44,44,44,44,336,183,336,283,183,283,31,31,31,31,31,1000,0,20,idle,full forward,high idle
0:04:00,0:01:40,engine start,90,510,0.01,300,71,14.25,14.25,42.75,128.25,128.25,19.95,14.25,100,9,44,44,44,44,496,343,496,443,343,443,443,443,443,443,443,1000,0,21,idle,full forward,high idle
0:04:02,0:01:42,engine start,90,600,0.01,300,71,14.25,14.25,42.75,128.25,128.25,19.95,14.25,100,9,44,44,44,44,496,343,496,443,343,443,443,443,443,443,443,1000,0,22,idle,full forward,high idle
0:04:08,0:01:48,engine start,70,1400,22.23,200,71,14.25,14.25,42.75,128.25,128.25,19.95,14.25,100,9,44,44,44,44,496,343,496,443,343,443,443,443,443,443,443,1000,0,23,idle,full forward,high idle
0:04:15,0:01:55,engine start,50,1400,44.45,125,71,14.25,14.25,42.75,128.25,128.25,19.95,14.25,100,9,44,44,44,44,496,343,496,443,343,443,443,443,443,443,443,1000,0,25,idle,full forward,high idle
0:04:15,0:01:55,engine start,20,1400,77.78,125,71,14.25,14.25,42.75,128.25,128.25,19.95,14.25,100,9,44,44,44,44,496,343,496,443,343,443,443,443,443,443,443,1000,0,28,idle,full forward,high idle
0:04:15,0:01:55,engine start,10,1400,88.89,100,71,14.25,14.25,42.75,128.25,128.25,19.95,14.25,100,9,44,44,44,44,496,343,496,443,343,443,443,443,443,443,443,1000,0,28,idle,full forward,high idle
0:04:17,0:01:57,engine start,10,1400,88.89,100,71,14.25,14.25,42.75,128.25,128.25,19.95,14.25,100,9,44,44,44,44,496,343,496,443,343,443,443,443,443,443,443,1000,0,28,idle,full forward,high idle
0:04:39,0:02:19,engine start,10,1400,88.89,100,71,14.25,14.25,42.75,128.25,128.25,19.95,14.25,100,9,44,44,44,44,496,343,496,443,343,443,443,443,443,443,443,1000,0,25,idle,full forward,high idle
0:04:40,0:02:20,engine start,10,1400,88.89,100,71,14.25,14.25,42.75,128.25,128.25,19.95,14.25,100,9,44,44,44,44,496,343,496,443,343,443,443,443,443,443,443,1000,0,25,idle,full forward,high idle
0:04:54,0:02:34,engine start,10,1450,88.89,100,71,14.25,14.25,42.75,128.25,128.25,19.95,14.25,100,9,44,44,44,44,496,343,496,443,343,443,443,443,443,443,443,1000,0,28,idle,full forward,high idle
0:05:40,0:03:20,engine start,10,1450,88.89,100,71,14.25,14.25,42.75,128.25,128.25,19.95,14.25,100,9,44,44,44,44,496,343,496,443,343,443,443,443,443,443,443,1000,0,28,idle,full forward,high idle
0:05:44,0:03:24,engine start,10,1250,88.89,100,71,14.25,14.25,42.75,128.25,128.25,19.95,14.25,100,9,44,44,44,44,496,343,496,443,343,443,443,443,443,443,443,1000,0,28,idle,full forward,mid idle
0:05:50,0:03:30,engine start,10,1200,88.89,80,60,14.25,14.25,42.75,128.25,128.25,19.95,14.25,100,9,44,44,44,44,411,258,411,358,258,358,358,358,358,358,358,1000,0,28,idle,full forward,mid idle
0:06:18,0:03:58,engine start,10,1150,88.89,80,60,14.25,14.25,42.75,128.25,128.25,19.95,14.25,100,9,44,44,44,44,411,258,411,358,258,358,358,358,358,358,358,1000,0,28,idle,full forward,mid idle
0:08:37,0:06:17,engine start,10,1150,88.89,80,60,14.25,14.25,42.75,128.25,128.25,19.95,14.25,100,9,44,44,44,44,411,258,411,358,258,358,358,358,358,358,358,1000,0,28,idle,full forward,mid idle
0:10:20,0:06:17,taxi,10,1150,88.89,80,60,14.25,14.25,42.75,128.25,128.25,19.95,14.25,100,9,44,44,44,44,411,258,411,358,258,358,358,358,358,358,358,1000,0,28,idle,full forward,mid idle
0:11:15,0:08:00,taxi,10,1360,88.89,50,60,14.25,14.25,42.75,128.25,128.25,19.95,14.25,100,9,44,44,44,44,411,258,411,358,258,358,358,358,358,358,358,1000,0,28,beta,full forward,mid idle
0:11:37,0:08:55,taxi,10,1500,88.89,50,60,14.25,14.25,42.75,128.25,128.25,19.95,14.25,100,9,44,44,44,44,411,258,411,358,258,358,358,358,358,358,358,1000,0,28,beta,full forward,mid idle
0:18:45,0:09:17,stopped,15,1150,83.34,180,60,14.25,14.25,42.75,128.25,128.25,19.95,14.25,100,9,44,44,44,44,411,258,411,358,258,358,358,358,358,358,358,1000,0,28,idle,full forward,mid idle
0:19:27,0:16:25,takeoff,15,1150,83.34,180,60,14.25,14.25,42.75,128.25,128.25,19.95,14.25,100,9,44,44,44,44,411,258,411,358,258,358,358,358,358,358,358,1000,10,28,slow increase,full forward,mid idle
